time,begins at 1986 00h00 (1986-2015)
31-12-10 23:43,0.236
1-01-11 0:43,0.289
1-01-11 1:43,0.338
1-01-11 2:43,0.358
1-01-11 3:43,0.36
1-01-11 4:43,0.365
1-01-11 5:43,0.332
1-01-11 6:43,0.293
1-01-11 7:43,0.259
1-01-11 8:43,0.256
1-01-11 9:43,0.252
1-01-11 10:43,0.25
1-01-11 11:43,0.264
1-01-11 12:43,0.309
1-01-11 13:43,0.363
1-01-11 14:43,0.373
1-01-11 15:43,0.361
1-01-11 16:43,0.371
1-01-11 17:43,0.41
1-01-11 18:43,0.423
1-01-11 19:43,0.412
1-01-11 20:43,0.428
1-01-11 21:43,0.457
1-01-11 22:43,0.472
1-01-11 23:43,0.467
2-01-11 0:43,0.434
2-01-11 1:43,0.387
2-01-11 2:43,0.326
2-01-11 3:43,0.283
2-01-11 4:43,0.267
2-01-11 5:43,0.266
2-01-11 6:43,0.261
2-01-11 7:43,0.24
2-01-11 8:43,0.228
2-01-11 9:43,0.218
2-01-11 10:43,0.219
2-01-11 11:43,0.237
2-01-11 12:43,0.251
2-01-11 13:43,0.267
2-01-11 14:43,0.253
2-01-11 15:43,0.238
2-01-11 16:43,0.243
2-01-11 17:43,0.251
2-01-11 18:43,0.242
2-01-11 19:43,0.217
2-01-11 20:43,0.204
2-01-11 21:43,0.18
2-01-11 22:43,0.147
2-01-11 23:43,0.116
3-01-11 0:43,0.084
3-01-11 1:43,0.055
3-01-11 2:43,0.032
3-01-11 3:43,0.018
3-01-11 4:43,0.01
3-01-11 5:43,0.006
3-01-11 6:43,0.003
3-01-11 7:43,0.002
3-01-11 8:43,0.001
3-01-11 9:43,0.001
3-01-11 10:43,0.003
3-01-11 11:43,0.005
3-01-11 12:43,0.008
3-01-11 13:43,0.01
3-01-11 14:43,0.008
3-01-11 15:43,0.005
3-01-11 16:43,0.004
3-01-11 17:43,0.003
3-01-11 18:43,0.002
3-01-11 19:43,0.003
3-01-11 20:43,0.005
3-01-11 21:43,0.021
3-01-11 22:43,0.076
3-01-11 23:43,0.168
4-01-11 0:43,0.26
4-01-11 1:43,0.345
4-01-11 2:43,0.403
4-01-11 3:43,0.424
4-01-11 4:43,0.423
4-01-11 5:43,0.422
4-01-11 6:43,0.423
4-01-11 7:43,0.427
4-01-11 8:43,0.43
4-01-11 9:43,0.447
4-01-11 10:43,0.494
4-01-11 11:43,0.57
4-01-11 12:43,0.622
4-01-11 13:43,0.665
4-01-11 14:43,0.703
4-01-11 15:43,0.727
4-01-11 16:43,0.745
4-01-11 17:43,0.745
4-01-11 18:43,0.741
4-01-11 19:43,0.736
4-01-11 20:43,0.741
4-01-11 21:43,0.737
4-01-11 22:43,0.718
4-01-11 23:43,0.71
5-01-11 0:43,0.702
5-01-11 1:43,0.707
5-01-11 2:43,0.723